中低床	茂木　INDY300　マシーン輸送	CIMG0545.JPG
タンク	大型回転濾板　L8100	CIMG0861.JPG
タンク台車	大型回転濾板　ｗ3700　	CIMG1194.JPG
タンク台車	大型カクハン機　重量８ｔ	502 087.jpg
タンク台車	直径４ｍ　長さ10ｍ　大型カクハン機	502 092.jpg
